GEOID10,canrate,nitr_mean,nitr_min,nitr_max,nitr_std,nitr_count
55079185800,0.01,,,,,0
55079185400,0.01,1.704658233330574,1.704658233330574,1.704658233330574,0.0,1
55079185900,0.01,,,,,0
55079185500,0.01,1.595218558849509,1.595218558849509,1.595218558849509,0.0,1
55079186000,0.01,,,,,0
55079185600,0.01,1.5196001614925185,1.5196001614925185,1.5196001614925185,0.0,1
55079185700,0.01,1.6661578413718245,1.6661578413718245,1.6661578413718245,0.0,1
55079187200,0.11,1.3570222670501952,-0.0940377356003064,2.191914847485888,0.5805149355216979,39
55079003200,0.01,2.022775037097991,2.022775037097991,2.022775037097991,0.0,1
55079180500,0.01,2.059683256806169,2.0333780620984605,2.085988451513877,0.0263051947077082,2
55079100500,0.01,1.4573060555272677,1.4573060555272677,1.4573060555272677,0.0,1
55079005400,0.01,2.2361793208853102,2.105372300924491,2.366986340846129,0.1308070199608189,2
